datetime,len_sum,smallest,largest,count_sum,0xffff,0xbfb8,0x0000,0xbfb8,0x0e91,0x0000,0x0e91,0xab52,0xab52,0x0cd0,0x0cd0,0x469a,0x469a,0x6493,0x6493,0xdfb8,0x0e910db012dbfe91
2021-02-03 08:31:49,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:32:19,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:32:49,543,85,173,5,3,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:33:19,1619,85,213,15,8,9,6,3,0,4,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:33:49,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:34:19,743,85,173,7,4,4,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:34:49,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:35:19,648,85,173,6,3,3,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:35:49,475,95,95,5,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:36:19,485,95,105,5,4,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:36:49,3453,19,213,33,4,14,7,17,0,10,0,7,2,5,0,0,0,0,0,0,0
2021-02-03 08:37:19,1159,19,167,15,4,4,4,2,0,5,0,0,0,2,2,5,2,0,0,0,0
2021-02-03 08:37:49,543,85,173,5,3,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:38:19,3052,19,215,30,8,12,8,9,6,9,2,0,0,0,0,0,0,4,2,0,0
2021-02-03 08:38:49,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:39:19,285,95,95,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:39:49,543,85,173,5,3,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:40:19,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:40:49,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:41:19,543,85,173,5,3,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:41:49,285,95,95,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:42:19,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:42:49,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:43:19,1171,85,213,11,8,7,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:43:49,743,85,173,7,4,4,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:44:19,285,95,95,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:44:49,743,85,173,7,4,4,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:45:19,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:45:49,743,85,173,7,4,4,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:46:19,648,85,173,6,3,3,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:46:49,2194,19,213,22,4,10,5,10,0,6,0,6,2,1,0,0,0,0,0,0,0
2021-02-03 08:47:19,1469,19,213,17,4,5,5,3,0,6,0,0,0,2,2,5,2,0,0,0,0
2021-02-03 08:47:49,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:48:19,3060,19,173,30,8,13,8,9,5,11,1,0,0,0,0,0,0,4,1,0,0
2021-02-03 08:48:49,380,95,95,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:49:19,638,85,173,6,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-03 08:49:49,543,85,173,5,3,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
