Accuracy,pad,file
0.355072464,27, 60_second_0.001_alpha_4_fold_25_n_2_k_final_score.csv
0.355072464,28, 60_second_0.001_alpha_4_fold_25_n_3_k_final_score.csv
0.347826087,29, 60_second_0.001_alpha_4_fold_25_n_4_k_final_score.csv
0.345410628,30, 60_second_0.001_alpha_4_fold_25_n_5_k_final_score.csv
0.391304348,31, 60_second_0.001_alpha_4_fold_25_n_6_k_final_score.csv
0.381642512,32, 60_second_0.001_alpha_4_fold_25_n_7_k_final_score.csv
0.384057971,33, 60_second_0.001_alpha_4_fold_25_n_8_k_final_score.csv
0.403381643,34, 60_second_0.001_alpha_4_fold_25_n_9_k_final_score.csv
0.473007712,60, 60_second_0.001_alpha_4_fold_50_n_10_k_final_score.csv
0.264781491,51, 60_second_0.001_alpha_4_fold_50_n_1_k_final_score.csv
0.354755784,52, 60_second_0.001_alpha_4_fold_50_n_2_k_final_score.csv
0.455012853,53, 60_second_0.001_alpha_4_fold_50_n_3_k_final_score.csv
0.42159383,54, 60_second_0.001_alpha_4_fold_50_n_4_k_final_score.csv
0.437017995,55, 60_second_0.001_alpha_4_fold_50_n_5_k_final_score.csv
0.385604113,56, 60_second_0.001_alpha_4_fold_50_n_6_k_final_score.csv
0.370179949,57, 60_second_0.001_alpha_4_fold_50_n_7_k_final_score.csv
0.393316195,58, 60_second_0.001_alpha_4_fold_50_n_8_k_final_score.csv
0.460154242,59, 60_second_0.001_alpha_4_fold_50_n_9_k_final_score.csv
0.592920354,110, 60_second_0.001_alpha_5_fold_100_n_10_k_final_score.csv
0.215339233,101, 60_second_0.001_alpha_5_fold_100_n_1_k_final_score.csv
0.474926254,102, 60_second_0.001_alpha_5_fold_100_n_2_k_final_score.csv
0.507374631,103, 60_second_0.001_alpha_5_fold_100_n_3_k_final_score.csv
0.522123894,104, 60_second_0.001_alpha_5_fold_100_n_4_k_final_score.csv
0.533923304,105, 60_second_0.001_alpha_5_fold_100_n_5_k_final_score.csv
0.640117994,106, 60_second_0.001_alpha_5_fold_100_n_6_k_final_score.csv
0.613569322,107, 60_second_0.001_alpha_5_fold_100_n_7_k_final_score.csv
0.654867257,108, 60_second_0.001_alpha_5_fold_100_n_8_k_final_score.csv
0.628318584,109, 60_second_0.001_alpha_5_fold_100_n_9_k_final_score.csv
0.324009324,11, 60_second_0.001_alpha_5_fold_10_n_1_k_final_score.csv
0.27972028,12, 60_second_0.001_alpha_5_fold_10_n_2_k_final_score.csv
